REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
ZIGUINCHOR,BIGNONA,DIOULOULOU,SANTHIBA ECOLE ELEMENTAIRE,1,557,CLASSE CP
ZIGUINCHOR,BIGNONA,DIOULOULOU,SANTHIBA ECOLE ELEMENTAIRE,2,136,SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,DJIBIDIONE,BALLA BASSENE,1,370,SALLE 1 ECOLE BALLA BASSENE
ZIGUINCHOR,BIGNONA,DJIBIDIONE,BOULAYOTTE,1,120,ECOLE BOULAYOTE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,DJIBIDIONE,BOULINGHOYE,1,341,SALLE 1 ECOLE BOULINGHOYE
ZIGUINCHOR,BIGNONA,DJIBIDIONE,BRINDIAGO,1,435,SALLE 1 ECOLE BRINDIAGO
ZIGUINCHOR,BIGNONA,DJIBIDIONE,DIABOUDIOR FRONTIERE,1,173,SALLE 1 ECOLE DIABOUDIOR FRONT
ZIGUINCHOR,BIGNONA,DJIBIDIONE,DIACOYE COMBOLI,1,245,SALLE 1 ECOLE DIACOYE COMBOLY
ZIGUINCHOR,BIGNONA,DJIBIDIONE,DIOCADOU,1,102,SALLE 1 ECOLE DIOCADOU
ZIGUINCHOR,BIGNONA,DJIBIDIONE,DIONDJI,1,290,SALLE 1 ECOLE DJOND
ZIGUINCHOR,BIGNONA,DJIBIDIONE,DJIBIDIONE,1,432,ECOLE ELEMENTAIRE SALLE 1
ZIGUINCHOR,BIGNONA,DJIBIDIONE,DJIBIDIONE,2,203,ECOLE ELEMENTAIRE SALLE 2
ZIGUINCHOR,BIGNONA,DJIBIDIONE,DJIGOUDIERE,1,14,DJIBIDIONE BV2
ZIGUINCHOR,BIGNONA,DJIBIDIONE,DJIRAL,1,388,SALLE 1 ECOLE
ZIGUINCHOR,BIGNONA,DJIBIDIONE,KABOUNGOUTE,1,314,SALLE ECOLE 1 DIAKOYE COMBOLI
ZIGUINCHOR,BIGNONA,DJIBIDIONE,MASSARA,1,323,SALLE 1 ECOLE
ZIGUINCHOR,BIGNONA,DJINAKI,BADIANA,1,438,CLASSE CI
ZIGUINCHOR,BIGNONA,DJINAKI,BADIANA,2,439,CLASSE CM 2
ZIGUINCHOR,BIGNONA,DJINAKI,BALINE,1,270,CLASSE CM 2
ZIGUINCHOR,BIGNONA,DJINAKI,BARANLIRE,1,306,BELAYE ZONE DES PALMIERS
ZIGUINCHOR,BIGNONA,DJINAKI,BELAYE,1,477,CLASSE CI
ZIGUINCHOR,BIGNONA,DJINAKI,DJINAKI,1,523,CLASSE C I
ZIGUINCHOR,BIGNONA,DJINAKI,DJINAKI,2,521,CLASSE CM 2
ZIGUINCHOR,BIGNONA,DJINAKI,DJIOUNOUNDIE,1,161,EBINAKO
ZIGUINCHOR,BIGNONA,DJINAKI,EBINAKO,1,525,CLASSE CI
ZIGUINCHOR,BIGNONA,DJINAKI,EBINAKO,2,528,SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,DJINAKI,EBINKINE,1,340,CLASSE C I
ZIGUINCHOR,BIGNONA,DJINAKI,EBINKINE,2,339,CLASSE CM 2
ZIGUINCHOR,BIGNONA,DJINAKI,ECOLE DE BITIBITI,1,261,ECOLE EBINAKO
ZIGUINCHOR,BIGNONA,DJINAKI,KABILINE,1,400,CLASSE C I
ZIGUINCHOR,BIGNONA,DJINAKI,KABILINE,2,402,CLASSE C E 1
ZIGUINCHOR,BIGNONA,DJINAKI,KABILINE,3,402,CLASSE CM 2
ZIGUINCHOR,BIGNONA,DJINAKI,KABILINE MAMBOURO OU KAB. 2,1,550,CLASSE C I
ZIGUINCHOR,BIGNONA,DJINAKI,KARONGUE,1,398,CLASSE CM 2
ZIGUINCHOR,BIGNONA,DJINAKI,MAHAMOUDA CHERIF,1,475,CLASSE CI
ZIGUINCHOR,BIGNONA,DJINAKI,TANDINE,1,379,BADIANA
ZIGUINCHOR,BIGNONA,DJINAKI,WANGARANG,1,327,DJINAKI
ZIGUINCHOR,BIGNONA,KAFOUNTINE,ABENE,1,570,CLASSE CM 2
ZIGUINCHOR,BIGNONA,KAFOUNTINE,ABENE,2,570,CLASSE CI
ZIGUINCHOR,BIGNONA,KAFOUNTINE,ABENE,3,571,CLASSE CE 1
ZIGUINCHOR,BIGNONA,KAFOUNTINE,ALBADAR,1,440,CLASSE CI
ZIGUINCHOR,BIGNONA,KAFOUNTINE,ALBADAR,2,436,CLASSE CM 2
ZIGUINCHOR,BIGNONA,KAFOUNTINE,BOUNE,1,119,CLASSE CI
ZIGUINCHOR,BIGNONA,KAFOUNTINE,CAYLO,1,99,CLASSE CI
ZIGUINCHOR,BIGNONA,KAFOUNTINE,COLOMBA,1,325,CLASSE CI
ZIGUINCHOR,BIGNONA,KAFOUNTINE,COUBA,1,239,CLASSE CI
ZIGUINCHOR,BIGNONA,KAFOUNTINE,DIANNA,1,529,CLASSE CI
ZIGUINCHOR,BIGNONA,KAFOUNTINE,DIANNA,2,530,CLASSE CM 2
