REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SEDHIOU,BOUNKILING,DIAMBATY,SARE ILO,1,214,ECOLE CLASSE CE1
SEDHIOU,BOUNKILING,DIAMBATY,SYLLACOUNDA,1,299,ECOLE CLASSE CE1
SEDHIOU,BOUNKILING,DIAMBATY,TOUBA MORICOUNDA,1,93,ECOLE CLASSE CP
SEDHIOU,BOUNKILING,DIAMBATY,TOUBA MORICOUNDA,2,93,ECOLE CLASSE CE1
SEDHIOU,BOUNKILING,DIAROUME,BAGADADJI,1,225,CLASSE CE2
SEDHIOU,BOUNKILING,DIAROUME,BAGADADJI,2,225,CLASSE CP
SEDHIOU,BOUNKILING,DIAROUME,BANTANTO,1,428,CLASSE CP
SEDHIOU,BOUNKILING,DIAROUME,BISSARI LANG,1,185,ECOLE CLASSE CI
SEDHIOU,BOUNKILING,DIAROUME,DIAROUME,1,517,CLASSE CI
SEDHIOU,BOUNKILING,DIAROUME,DIAROUME,2,526,CLASSE CE2
SEDHIOU,BOUNKILING,DIAROUME,DIAROUME,3,521,CLASSE CM2
SEDHIOU,BOUNKILING,DIAROUME,DIAROUME,4,367,CLASSE CM1
SEDHIOU,BOUNKILING,DIAROUME,KANDIADIOU,1,308,CLASSE CP
SEDHIOU,BOUNKILING,DIAROUME,KANDIADIOU,2,309,CM2 ECOLE ELEMENTAIRE
SEDHIOU,BOUNKILING,DIAROUME,KANDIOUNKOU,1,306,CLASSE CP
SEDHIOU,BOUNKILING,DIAROUME,KANDIOUNKOU,2,302,ECOLE CLASSE CE1
SEDHIOU,BOUNKILING,DIAROUME,KATABA 1,1,151,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,DIAROUME,KOUSSAOR,1,249,ECOLE CLASSE CI
SEDHIOU,BOUNKILING,DIAROUME,MANCONTON,1,269,CLASSE CI
SEDHIOU,BOUNKILING,DIAROUME,NDIAGNENE,1,282,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,DIAROUME,NDIAMA,1,453,CLASSE CI
SEDHIOU,BOUNKILING,DIAROUME,NDIAMA,2,454,CLASSE CE2
SEDHIOU,BOUNKILING,DIAROUME,NDIAMA,3,453,CLASSE CM1
SEDHIOU,BOUNKILING,DIAROUME,NDIAMA,4,451,ECOLE CLASSE CE1
SEDHIOU,BOUNKILING,DIAROUME,NIANDANKI,1,449,ECOLE CLASSE CP
SEDHIOU,BOUNKILING,DIAROUME,SOUAKI,1,371,CLASSE CE2
SEDHIOU,BOUNKILING,DIAROUME,TOUBA DIASSOR,1,431,CLASSE CI
SEDHIOU,BOUNKILING,DJINANY,BANDOUMA DIOUKA,1,86,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,DJINANY,BANDOUMBA MAMADOU,1,248,ECOLE BANDOUMBA M. SALLE DE CLASSE
SEDHIOU,BOUNKILING,DJINANY,DJINANI,1,538,CP1 ECOLE ELEMENTAIRE
SEDHIOU,BOUNKILING,DJINANY,ECOLE DE MANSABANG,1,428,ABRI PORVISOIRE
SEDHIOU,BOUNKILING,DJINANY,GASSIKON MANDINGUE,1,156,CLASSE C P
SEDHIOU,BOUNKILING,DJINANY,KAMBALEBA,1,221,CE2 ECOLE ELEMENTAIRE
SEDHIOU,BOUNKILING,FAOUNE,DIOKOUL,1,421,ECOLE DIOKOUL CLASSE CI
SEDHIOU,BOUNKILING,FAOUNE,FAOUNE,1,394,CLASSE CP
SEDHIOU,BOUNKILING,FAOUNE,FAOUNE,2,395,CLASSE CE1
SEDHIOU,BOUNKILING,FAOUNE,FAOUNE,3,391,CLASSE CM1
SEDHIOU,BOUNKILING,FAOUNE,FASS NDIAYENE,1,302,ABRI PROVISOIRE
